unitid,institution name,year,F1011_F2_RV.Private gifts - Total,DRVF2011_RV.Tuition and fees as a percent of core revenues (FASB),DRVF2011_RV.Endowment assets (year end) per FTE enrollment (FASB)
123457,Simpson University,2011,958514,89,3933
123554,Saint Mary's College of California,2011,25989426,61,34888
123633,South Baylo University,2011,193133,88,
123651,Vanguard University of Southern California,2011,2187805,87,2251
123916,Starr King School for Ministry,2011,695692,33,94937
123943,Marshall B Ketchum University,2011,622777,46,10720
123952,Southern California Institute of Architecture,2011,847488,84,
123961,University of Southern California,2011,681267000,32,102547
123970,Southwestern Law School,2011,2042514,84,5902
124283,Claremont School of Theology,2011,3890258,13,110090
124292,Thomas Aquinas College,2011,4326308,47,31522
124487,Epic Bible College,2011,60782,90,
125718,Westminster Theological Seminary in California,2011,2285405,32,2741
125727,Westmont College,2011,14072943,53,47008
125763,Whittier College,2011,6055373,70,
125897,Woodbury University,2011,2270634,83,9974
126012,The Wright Institute,2011,90000,89,7982
126049,Thomas Jefferson School of Law,2011,245264,94,
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2011,717014,74,
126669,Colorado Christian University,2011,4319822,81,1068
126678,Colorado College,2011,7757822,33,224385
126872,College America-Denver,2011,,,
126979,Denver Seminary,2011,1813002,68,10246
127060,University of Denver,2011,35035326,64,31700
127273,Iliff School of Theology,2011,1647817,34,134932
127653,Naropa University,2011,636471,91,5297
127714,Nazarene Bible College,2011,1215043,68,4149
127918,Regis University,2011,3601815,91,5099
127954,Montessori Education Center of the Rockies,2011,0,93,
128498,Albertus Magnus College,2011,966681,76,2397
128744,University of Bridgeport,2011,1329000,95,4857
128902,Connecticut College,2011,15489000,51,103265
129154,Goodwin College,2011,826567,93,1607
129242,Fairfield University,2011,16412000,60,54402
129428,Rensselaer Hartford Graduate Center Inc,2011,0,35,24386
129491,Hartford Seminary,2011,693249,12,332068
129525,University of Hartford,2011,5895000,68,19048
129534,Holy Apostles College and Seminary,2011,644488,70,
129686,Lyme Academy College of Fine Arts,2011,1473980,42,52945
129774,Mitchell College,2011,420920,78,7003
129941,University of New Haven,2011,3857198,82,4555
130226,Quinnipiac University,2011,13161105,71,33949
130253,Sacred Heart University,2011,6667952,75,18935
130314,University of Saint Joseph,2011,5952000,51,12614
130448,St Vincent's College,2011,443806,71,8121
130590,Trinity College,2011,32054211,36,185652
130697,Wesleyan University,2011,31909000,35,186274
130785,Yale-New Haven Hospital Dietetic Internship,2011,1500,75,
130794,Yale University,2011,659020000,3,1401022
130989,Goldey-Beacom College,2011,188925,40,48197
131098,Wesley College,2011,1312993,92,3570
131113,Wilmington University,2011,229458,94,2426
131159,American University,2011,17773000,73,37283
131283,Catholic University of America,2011,16520614,62,39313
131308,Corcoran College of Art and Design,2011,2509012,70,23762
131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,2011,2344422,15,48127
131450,Gallaudet University,2011,3045999,11,103344
131469,George Washington University,2011,46658000,55,72380
131496,Georgetown University,2011,73693302,41,71395
131520,Howard University,2011,0,24,43190
131876,Trinity Washington University,2011,1794690,80,10240
131973,Wesley Theological Seminary,2011,5820225,22,44273
132408,The Baptist College of Florida,2011,1171967,51,11872
132471,Barry University,2011,2020825,91,3060
132602,Bethune-Cookman University,2011,3833325,64,11908
132657,Lynn University,2011,2721273,85,9548
132842,Carlos Albizu University-Miami,2011,0,82,
132879,Johnson University Florida,2011,1678305,62,3099
133085,Clearwater Christian College,2011,1083552,82,1187
133492,Eckerd College,2011,21721035,59,19074
133526,Edward Waters College,2011,3077512,39,2076
133553,Embry-Riddle Aeronautical University-Daytona Beach,2011,3583000,88,8686
133711,Flagler College-St Augustine,2011,4001431,62,18144
133809,Florida College,2011,4317478,38,20926
133872,Adventist University of Health Sciences,2011,210332,75,2049
133881,Florida Institute of Technology,2011,2457668,79,6341
133979,Florida Memorial University,2011,495303,70,5287
134079,Florida Southern College,2011,22729356,51,31983
134510,Hobe Sound Bible College,2011,954286,25,11613
134945,Jacksonville University,2011,3583832,54,9717
135063,Jones College-Jacksonville,2011,0,34,
135081,Keiser University-Ft Lauderdale,2011,0,97,
135364,Luther Rice University & Seminary,2011,311555,92,581
135610,Trinity International University-Florida,2011,30517,98,953
135726,University of Miami,2011,101025243,25,44848
135939,Remington College-Tampa Campus,2011,0,99,
136206,Northwood University-Florida,2011,,71,7808
136215,Nova Southeastern University,2011,15684508,86,2329
136330,Palm Beach Atlantic University,2011,10485224,72,21256
136701,Saint Vincent de Paul Regional Seminary,2011,1610844,40,156802
136774,Ringling College of Art and Design,2011,8634524,77,21385
136950,Rollins College,2011,18265000,42,97748
137032,Saint Leo University,2011,2065833,93,2459
137272,Saint John Vianney College Seminary,2011,0,25,
137476,St Thomas University,2011,1575509,80,6176
137546,Stetson University,2011,11887418,62,36517
137564,Southeastern University,2011,1491690,87,2151
137777,Talmudic College of Florida,2011,2259702,17,
137847,The University of Tampa,2011,4637365,87,4134
137953,Trinity Baptist College,2011,138631,65,
137962,Trinity College of Florida,2011,641935,68,12719
138275,Warner University,2011,1922906,34,3315
138293,Webber International University,2011,260520,89,5997
138600,Agnes Scott College,2011,10687794,17,270934
138868,Point University,2011,1210116,71,3372
138947,Clark Atlanta University,2011,4302658,60,14325
139144,Berry College,2011,7875388,12,375881
139153,Beulah Heights University,2011,201997,1,
139199,Brenau University,2011,3418427,73,13547
139205,Brewton-Parker College,2011,3933134,40,23870
139287,Carver Bible College,2011,877247,25,
139348,Columbia Theological Seminary,2011,6694640,2,557744
139393,Covenant College,2011,3323647,62,20100
139630,Emmanuel College,2011,1749237,71,4751
139658,Emory University,2011,94129000,16,341001
140146,Interdenominational Theological Center,2011,1953447,49,62452
140234,LaGrange College,2011,3387200,49,55456
140252,Life University,2011,2145948,93,
140447,Mercer University,2011,9205242,52,23318
140553,Morehouse College,2011,5200774,39,53491
140562,Morehouse School of Medicine,2011,1446347,7,272487
140696,Oglethorpe University,2011,2569654,78,17007
140720,Paine College,2011,2602788,52,10149
140818,Piedmont College,2011,1423374,63,19041
140872,Reinhardt University,2011,1393528,59,35617
140951,Savannah College of Art and Design,2011,8698345,94,1437
140988,Shorter University,2011,6014609,53,13509
141060,Spelman College,2011,2264229,30,133823
141167,Thomas University,2011,711457,77,4093
141185,Toccoa Falls College,2011,1500718,52,3577
141237,Truett-McConnell College,2011,639887,52,13993
141325,Wesleyan College,2011,8876646,19,114020
141361,Young Harris College,2011,27451203,13,136994
141486,Chaminade University of Honolulu,2011,3623316,67,4690
141644,Hawaii Pacific University,2011,1906605,78,12933
141936,World Medicine Institute,2011,128000,72,
142090,Boise Bible College,2011,760178,41,4191
142294,The College of Idaho,2011,4310524,28,80920
142461,Northwest Nazarene University,2011,4800568,65,14995
142522,Brigham Young University-Idaho,2011,6915000,24,3542
142832,Adler School of Professional Psychology,2011,358183,96,
143048,School of the Art Institute of Chicago,2011,10853528,77,57154
143084,Augustana College,2011,18396386,48,47
143118,Aurora University,2011,1803671,75,10713
143233,Bethany Theological Seminary,2011,1312047,2,531089
143288,Blackburn College,2011,2393263,50,19145
143297,Blessing Rieman College of Nursing,2011,0,76,
143358,Bradley University,2011,13578238,56,43475
143659,Catholic Theological Union at Chicago,2011,1603305,22,93145
143853,Midwestern University-Downers Grove,2011,513938,66,900
143978,The Chicago School of Professional Psychology at Chicago,2011,146036,93,1474
144014,Chicago Theological Seminary,2011,1968533,15,203226
144050,University of Chicago,2011,221143808,14,433139
144281,Columbia College-Chicago,2011,2292151,89,9790
144351,Concordia University-Chicago,2011,1834720,88,4548
144740,DePaul University,2011,15946000,81,16305
144883,East-West University,2011,0,10,
144962,Elmhurst College,2011,4760609,67,25834
144971,Eureka College,2011,3339255,61,18602
145275,Garrett-Evangelical Theological Seminary,2011,1966731,7,261710
145372,Greenville College,2011,2058900,75,8665
145497,Hebrew Theological College,2011,2765812,22,2740
145558,Rosalind Franklin University of Medicine and Science,2011,6612309,64,30081
145619,Benedictine University,2011,710594,71,2004
145628,Illinois College of Optometry,2011,788207,61,2283
145646,Illinois Wesleyan University,2011,8493200,46,89930
145691,Illinois College,2011,2084969,25,138469
145725,Illinois Institute of Technology,2011,25689000,44,29645
145886,Institute for Clinical Social Work,2011,117337,80,2451
146241,The John Marshall Law School,2011,887579,91,5182
146339,Judson University,2011,2166767,77,8876
146427,Knox College,2011,9215048,46,60319
146481,Lake Forest College,2011,7697443,48,48236
146490,Lake Forest Graduate School of Management,2011,261465,85,
146533,Lakeview College of Nursing,2011,52074,70,50720
146612,Lewis University,2011,5353514,76,
146621,Lexington College,2011,5004,57,
146667,Lincoln Christian University,2011,2741135,70,9510
146676,Lincoln College,2011,1600654,68,21809
146719,Loyola University Chicago,2011,18745850,63,25765
146728,Lutheran School of Theology at Chicago,2011,1768156,10,393525
146755,Trinity College of Nursing & Health Sciences,2011,0,83,
146825,MacMurray College,2011,1919134,62,18577
146977,McCormick Theological Seminary,2011,1050552,3,519066
147013,McKendree University,2011,2283852,77,9855
147031,Meadville Lombard Theological School,2011,4465012,7,128026
147129,Methodist College,2011,0,99,1258
147244,Millikin University,2011,16339842,44,44178
147341,Monmouth College,2011,9013266,38,61226
147369,Moody Bible Institute,2011,39450075,15,10604
147536,National Louis University,2011,1054227,81,6055
147590,National University of Health Sciences,2011,545231,89,1960
147660,North Central College,2011,5479224,60,34567
147679,North Park University,2011,7811239,58,25820
147697,Northern Baptist Theological Seminary,2011,516916,28,196045
147767,Northwestern University,2011,188873000,19,290741
147828,Olivet Nazarene University,2011,6569472,80,4373
148131,Quincy University,2011,2288569,68,9005
148335,Robert Morris University Illinois,2011,323880,84,10232
148405,Rockford University,2011,3027708,65,7581
148487,Roosevelt University,2011,4676856,79,16101
148496,Dominican University,2011,2038211,75,7209
148511,Rush University,2011,15018527,13,
148575,Saint Francis Medical Center College of Nursing,2011,61555,52,
148584,University of St Francis,2011,2064163,92,2943
148593,St John's College of Nursing,2011,72647,35,15089
148627,Saint Xavier University,2011,4182119,67,2325
148849,Shimer College,2011,1205371,55,6052
148876,Saint Augustine College,2011,134925,66,432
148885,University of Saint Mary of the Lake,2011,2883141,25,470782
148982,Spertus College,2011,2004872,14,46865
149028,Saint Anthony College of Nursing,2011,0,60,7581
149329,Telshe Yeshiva-Chicago,2011,3640171,20,
149505,Trinity Christian College,2011,4084334,79,6022
149514,Trinity International University-Illinois,2011,3879853,71,12729
149639,VanderCook College of Music,2011,239906,92,
149763,Resurrection University,2011,0,100,5742
149781,Wheaton College,2011,22459870,35,108038
150066,Anderson University,2011,4214000,70,10136
150145,Bethel College-Indiana,2011,2128888,86,4281
150163,Butler University,2011,12443000,59,33729
150172,Calumet College of Saint Joseph,2011,1285566,84,4365
150215,Christian Theological Seminary,2011,1832652,8,651836
150288,Concordia Theological Seminary,2011,6921403,15,118141
150400,DePauw University,2011,18787337,25,202147
150455,Earlham College,2011,8098148,20,288512
150534,University of Evansville,2011,5387014,64,26896
150604,Franklin College,2011,4526777,44,75262
150668,Goshen College,2011,3005878,31,100700
150677,Grace College and Theological Seminary,2011,3881206,54,5894
150756,Hanover College,2011,6103610,26,135539
150774,Holy Cross College,2011,847838,84,2723
150941,Huntington University,2011,2912843,62,17176
151263,University of Indianapolis,2011,5549756,72,14345
151290,Indiana Institute of Technology,2011,2379774,47,11666
151777,Manchester University,2011,5747538,20,32268
151786,Marian University,2011,24874097,50,10970
151801,Indiana Wesleyan University,2011,11250234,80,6648
151810,Martin University,2011,133199,90,
151865,Anabaptist Mennonite Biblical Seminary,2011,2720865,6,194394
151962,Mid-America College of Funeral Service,2011,0,93,
152080,University of Notre Dame,2011,214851000,14,538089
152099,Oakland City University,2011,1772480,67,2183
152318,Rose-Hulman Institute of Technology,2011,8264690,51,95091
152336,University of Saint Francis-Fort Wayne,2011,1897529,82,7741
152363,Saint Josephs College,2011,4016954,31,19627
152381,Saint Mary-of-the-Woods College,2011,1845888,72,12272
152390,Saint Mary's College,2011,16004278,40,81426
152451,Saint Meinrad School of Theology,2011,365236,31,197466
152530,Taylor University,2011,12380220,55,29848
152567,Trine University,2011,2663586,84,12360
152600,Valparaiso University,2011,24048000,53,39922
152673,Wabash College,2011,22962380,13,362082
152798,Allen College,2011,0,92,4382
152822,AIB College of Business,2011,392910,86,5603
152992,Briar Cliff University,2011,2047664,66,9627
153001,Buena Vista University,2011,3726937,47,43435
153108,Central College,2011,4406053,55,45346
153126,Clarke University,2011,2756809,62,26874
153144,Coe College,2011,3997410,57,55781
153162,Cornell College,2011,6289757,51,54089
153241,Divine Word College,2011,5976920,11,188081
153250,Dordt College,2011,5247489,62,18553
153269,Drake University,2011,21942609,59,27389
153278,University of Dubuque,2011,6053994,59,37670
153302,Emmaus Bible College,2011,2889625,40,5234
153320,Faith Baptist Bible College and Theological Seminary,2011,927567,44,9879
153366,Graceland University-Lamoni,2011,6539661,49,22929
153375,Grand View University,2011,1251158,84,8051
153384,Grinnell College,2011,8682000,7,939399
153621,Iowa Wesleyan College,2011,1960649,63,18774
153825,Loras College,2011,6333534,63,14343
153834,Luther College,2011,10236955,57,43117
153861,Maharishi University of Management,2011,6315000,55,8467
153977,Mercy College of Health Sciences,2011,218702,84,3681
154004,Morningside College,2011,2572709,58,23037
154013,Mount Mercy University,2011,1687253,73,17854
154101,Northwestern College,2011,4720436,50,35580
154156,Des Moines University-Osteopathic Medical Center,2011,1151592,67,56839
154174,Palmer College of Chiropractic-Davenport,2011,730240,82,1395
154235,Saint Ambrose University,2011,3793545,64,33768
154262,St Luke's College,2011,434301,70,7667
154350,Simpson College,2011,6196741,51,39801
154493,Upper Iowa University,2011,9617127,54,1683
154527,Wartburg College,2011,4183081,58,26082
154536,Wartburg Theological Seminary,2011,2660719,14,102417
154590,William Penn University,2011,8146194,57,3678
154688,Baker University,2011,4644486,73,10740
154712,Benedictine College,2011,9566260,55,9733
154721,Bethany College,2011,3484729,42,39585
154749,Bethel College-North Newton,2011,3028799,44,30590
154837,Central Baptist Theological Seminary,2011,2147305,9,39271
154855,Central Christian College of Kansas,2011,768116,67,20430
155007,Donnelly College,2011,1255708,35,14317
155070,Barclay College,2011,954375,51,1747
155089,Friends University,2011,1786000,72,18307
155335,Newman University,2011,914531,79,9049
155414,Kansas Wesleyan University,2011,664466,63,23278
155496,Manhattan Christian College,2011,1260953,61,7054
155511,McPherson College,2011,3220862,36,48449
155520,MidAmerica Nazarene University,2011,225340,71,3830
155627,Ottawa University-Ottawa,2011,1874567,86,25158
155636,Ottawa University-Kansas City,2011,,86,1339
155812,University of Saint Mary,2011,7025933,46,13770
155900,Southwestern College,2011,3527092,68,12061
155937,Sterling College,2011,1932233,29,19926
155973,Tabor College,2011,2580554,59,8263
156189,Alice Lloyd College,2011,3937129,31,47154
156213,Asbury University,2011,4190117,66,22274
156222,Asbury Theological Seminary,2011,11961434,23,125702
156286,Bellarmine University,2011,5654148,76,12877
156295,Berea College,2011,17902967,2,603785
156356,Brescia University,2011,2049353,57,19868
156365,Campbellsville University,2011,1977140,77,3674
156408,Centre College,2011,24017269,25,177105
156417,Clear Creek Baptist Bible College,2011,2292038,8,105560
156541,University of the Cumberlands,2011,7576632,58,24239
156727,Frontier Nursing University,2011,0,88,11232
156745,Georgetown College,2011,5029862,55,27781
157030,Kentucky Mountain Bible College,2011,487847,31,27208
157076,Kentucky Wesleyan College,2011,3287730,26,38806
157100,Kentucky Christian University,2011,1129948,37,9126
157207,Lexington Theological Seminary,2011,942025,4,556897
157216,Lindsey Wilson College,2011,1921495,80,4704
157298,Louisville Presbyterian Theological Seminary,2011,1551950,2,412907
157359,Mid-Continent University,2011,224154,94,1938
157377,Midway College,2011,3678215,68,7966
157535,University of Pikeville,2011,5122637,66,14228
157632,Saint Catharine College,2011,1972244,77,901
157757,Spalding University,2011,1175301,94,6229
157809,Thomas More College,2011,3478074,86,9346
157818,Transylvania University,2011,4572866,39,92761
157863,Union College,2011,1065114,66,14831
158477,Centenary College of Louisiana,2011,5536684,23,139547
158802,Dillard University,2011,3138079,25,46868
159568,Louisiana College,2011,4999095,40,18691
159656,Loyola University New Orleans,2011,3286316,55,56094
160029,Notre Dame Seminary Graduate School of Theology,2011,266223,43,28137
160065,Our Lady of Holy Cross College,2011,469870,54,27465
160074,Our Lady of the Lake College,2011,1687226,56,5829
160409,Saint Joseph Seminary College,2011,656744,28,21278
160755,Tulane University of Louisiana,2011,52388000,35,82599
160904,Xavier University of Louisiana,2011,5629081,35,38570
160959,College of the Atlantic,2011,6960346,43,91390
160977,Bates College,2011,11942013,53,135431
161004,Bowdoin College,2011,24224000,21,511723
161086,Colby College,2011,20832000,27,302694
161165,Husson University,2011,810405,89,2400
161457,University of New England,2011,4135331,81,5687
161509,Maine College of Art,2011,578275,72,12989
161518,Saint Joseph's College of Maine,2011,718976,77,7228
161563,Thomas College,2011,1555282,70,9145
161572,Unity College,2011,626552,84,4667
162061,Capitol College,2011,259689,67,6119
162210,Washington Adventist University,2011,1466355,44,4837
162654,Goucher College,2011,7020000,40,98451
162760,Hood College,2011,7257143,56,35069
162928,Johns Hopkins University,2011,398409000,12,123203
163046,Loyola University Maryland,2011,8040408,71,31292
163295,Maryland Institute College of Art,2011,14463462,62,33135
163462,Mount St Mary's University,2011,7887297,62,22066
163532,Ner Israel Rabbinical College,2011,3029913,10,
163578,Notre Dame of Maryland University,2011,1566242,68,17236
163921,Sojourner-Douglass College,2011,200000,54,
163976,St John's College,2011,3603650,40,132222
164085,Maryland University of Integrative Health,2011,168577,86,1331
164173,Stevenson University,2011,1459443,69,15585
164216,Washington College,2011,8020118,47,108877
164270,McDaniel College,2011,6249000,57,34181
164368,Hult International Business School,2011,,,
164447,American International College,2011,0,85,2653
164465,Amherst College,2011,31952477,11,849643
164474,Andover Newton Theological School,2011,1485778,24,186381
164492,Anna Maria College,2011,798067,93,482
164562,Assumption College,2011,989973,74,30276
164580,Babson College,2011,21668344,60,74755
164614,Boston Baptist College,2011,393561,79,
164632,Bay Path College,2011,1784985,73,16039
164720,Becker College,2011,1527108,91,1505
164739,Bentley University,2011,7995000,73,31028
164748,Berklee College of Music,2011,11596940,68,61717
164872,Boston Architectural College,2011,233792,81,6407
164915,Boston Graduate School of Psychoanalysis Inc,2011,38490,91,
164924,Boston College,2011,90346562,45,133579
164933,The Boston Conservatory,2011,769141,65,12085
164988,Boston University,2011,77114955,48,37088
165015,Brandeis University,2011,28036048,36,108977
165167,Cambridge College,2011,342081,91,2935
165264,Laboure College,2011,558410,90,6226
165334,Clark University,2011,5320000,40,85888
165495,Conway School of Landscape Design,2011,96588,72,
165529,Curry College,2011,1142106,85,22140
165574,Dean College,2011,1315270,74,25507
165644,Eastern Nazarene College,2011,3054077,69,13749
165662,Emerson College,2011,5029549,80,28043
165671,Emmanuel College,2011,4087375,68,28490
165699,Endicott College,2011,666243,82,11476
165705,Episcopal Divinity School,2011,1007048,2,2444523
165802,Fisher College,2011,109343,85,
165884,Benjamin Franklin Institute of Technology,2011,799164,72,5076
165936,Gordon College,2011,11091349,64,16831
165945,Gordon-Conwell Theological Seminary,2011,5633739,44,41503
166018,Hampshire College,2011,4177871,73,26087
166027,Harvard University,2011,547156000,7,1409259
166045,Hebrew College,2011,1913692,44,17339
166054,Hellenic College-Holy Cross Greek Orthodox School of Theology,2011,3955960,13,101873
166124,College of the Holy Cross,2011,16075286,38,194655
166391,Lasell College,2011,2617066,75,17038
166452,Lesley University,2011,3484175,73,32925
166601,Marian Court College,2011,72041,97,
166656,MCPHS University,2011,3240084,79,39924
166683,Massachusetts Institute of Technology,2011,522409000,6,931310
166717,Massachusetts School of Professional Psychology,2011,395297,95,
166850,Merrimack College,2011,2460211,77,16604
166869,MGH Institute of Health Professions,2011,842000,73,25626
166911,Montserrat College of Art,2011,1015887,83,1859
166939,Mount Holyoke College,2011,21081388,24,244276
166948,Mount Ida College,2011,230437,81,8346
166984,School of the Museum of Fine Arts-Boston,2011,1762660,80,32742
167057,The New England Conservatory of Music,2011,2821454,48,148411
167093,New England College of Optometry,2011,789727,77,27610
167181,New England School of Acupuncture,2011,18001,80,
167215,New England School of Law,2011,370869,93,240
167251,Newbury College,2011,592512,94,1700
167260,Nichols College,2011,6614128,70,7141
167358,Northeastern University,2011,34885000,69,22618
167394,College of Our Lady of the Elms,2011,1604845,67,6712
167455,Pine Manor College,2011,1426624,53,19366
167464,Blessed John XXIII National Seminary,2011,1346923,33,121133
167598,Regis College,2011,1065464,83,9194
167677,Saint John's Seminary,2011,0,23,150259
167783,Simmons College,2011,8179883,67,32628
167792,Bard College at Simon's Rock,2011,3638270,56,46962
167835,Smith College,2011,51671674,18,455119
167899,Springfield College,2011,4568880,55,13634
167996,Stonehill College,2011,4262439,60,60636
168005,Suffolk University,2011,2603390,84,3676
168148,Tufts University,2011,64659575,33,136711
168218,Wellesley College,2011,38002000,13,581337
168227,Wentworth Institute of Technology,2011,1844517,74,18962
168254,Western New England University,2011,1696167,83,13027
168281,Wheaton College,2011,16090212,51,101195
168290,Wheelock College,2011,3218565,54,33551
168342,Williams College,2011,48595885,12,818758
168421,Worcester Polytechnic Institute,2011,18572000,42,105059
168528,Adrian College,2011,2577019,74,14568
168546,Albion College,2011,6503337,35,101174
