UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
190248,Concordia College-New York,9262065,24548201,0,36642552,12937037,0,11779221,11926294,8759151,3167143,23705515,22538690,21276553,0,1262137,22443378,0,23705515,1270785
177092,Concordia Seminary,71712528,24860376,0,124825893,6241051,0,5472250,113112592,31272860,81839732,118584842,34286295,19668225,0,14618070,103966772,0,118584842,7500725
150288,Concordia Theological Seminary,25489524,18440825,0,71419673,9225350,7759468,11698318,50496005,35959671,14536334,62194323,20962966,10996637,0,9966329,52227994,0,62194323,3147953
169363,Concordia University-Ann Arbor,7203048,13632358,0,26672109,17703023,0,-1524784,10493870,8848429,1645441,8969086,19832467,13331475,0,6500992,2468094,0,8969086,77801
144351,Concordia University-Chicago,19696342,45373071,0,78620952,50500502,29150000,-856882,28977332,11542759,17434573,28120450,63012275,60292008,113130,2833397,25287053,0,28120450,1695550
112075,Concordia University-Irvine,12235243,59689178,0,107802635,44040267,29964600,35969887,27792481,12223641,15568840,63762368,60839125,53925757,0,6913368,56849000,0,63762368,2553935
180984,Concordia University-Nebraska,39154991,54549985,0,105231604,30424191,21643043,17615154,57192259,35195772,21996487,74807413,34099335,30265389,0,3833946,70973467,0,74807413,3096231
208488,Concordia University-Portland,1810725,58598791,33827785,94237301,59935435,40645779,22192018,12109848,7349745,4760103,34301866,77366018,73579054,0,3786964,30514902,0,34301866,42891
173328,Concordia University-Saint Paul,24795898,44667096,0,94746365,32533207,21994956,29952434,32260724,27877426,4383298,62213158,43079545,37997803,0,5081742,57131416,0,62213158,3670152
224004,Concordia University-Texas,14362015,80907811,479641,109064632,36091069,32685000,51687953,21285610,17223828,4061782,72973563,40202045,35313707,0,4888338,68085225,0,72973563,2424845
238616,Concordia University-Wisconsin,52713933,119755580,422837,194289700,30791322,19972282,138749772,24748606,15083359,9665247,163498378,91817772,76201903,0,15615869,147882509,0,163498378,4479477
128902,Connecticut College,248412000,108820000,0,409440000,96668000,0,76872000,235900000,144738000,91162000,312772000,131427000,105005000,0,26422000,286350000,0,312772000,28431000
217961,Converse College,74698740,46566006,0,139480165,29388113,21503851,16781957,93310095,78236360,15073735,110092052,24996696,26871929,4716728,2841495,107250557,0,110092052,5718615
165495,Conway School of Landscape Design,430704,617629,0,1299249,186058,137595,994376,118815,0,118815,1113191,792471,776252,0,16219,1096972,0,1113191,13289
184153,Cooper Health System Center for Allied Health Education,,,,,,,,,,,,,,,,,,,0
190372,Cooper Union for the Advancement of Science and Art,722935113,182531195,0,905466308,316335728,175000000,-95457288,684587868,69688569,614899299,589130580,82066357,68182417,0,13883940,575246640,0,589130580,64424281
210331,Corban University,1556579,13761081,411843,23082793,11672576,6924000,8550010,2860207,1647995,1212212,11410217,24514399,26552140,0,-2037741,13447958,0,11410217,0
131308,Corcoran College of Art and Design,28225,17996356,0,91459785,17915002,9287690,3938017,69606766,62844488,6762278,73544783,26214615,28285744,38445902,36374773,37170010,0,73544783,3456179
153162,Cornell College,68133423,67620948,0,153284211,25428952,14983119,50326817,77528442,62051841,15476601,127855259,39188748,33979280,0,5209468,122645791,0,127855259,4902751
190415,Cornell University,4319688875,2520930412,0,9362159422,2973949397,1070405046,2337610237,4050599788,2014130557,2036469231,6388210025,2157799318,1779141462,133805872,512463728,5875746297,0,6388210025,483035547
170037,Cornerstone University,11309193,37954101,0,67206317,21902197,13080130,32184936,13119184,2989290,10129894,45304120,47019477,40901280,0,6118197,39185923,0,45304120,959795
235024,Cornish College of the Arts,6775817,64301463,215225,80381725,31133972,25734000,40081958,9165795,5833539,3332256,49247753,26989392,26380275,0,609117,48638636,0,49247753,2017172
177117,Cottey College,98865024,393155,0,116617263,1476245,0,28913133,86227885,66117803,20110082,115141018,25314514,14552321,0,10762193,104378825,0,115141018,9216938
139393,Covenant College,26576823,41670792,0,79683139,4103756,0,34253887,41325496,18385489,22940007,75579383,33684207,29488181,0,4196026,71383357,0,75579383,3050839
177126,Covenant Theological Seminary,23270335,19342459,0,44170328,3278448,0,12602354,28289526,21771946,6517580,40891880,10434065,9396337,0,1037728,39854152,0,40891880,2110657
176770,Cox College,,,,,,,,,,,,,,,,,,,0
169424,Cranbrook Academy of Art,14200968,34689096,519202,51640523,648446,0,24263548,26728529,20985842,5742687,50992077,9948283,7944650,0,2003633,48988444,0,50992077,3756264
181002,Creighton University,444582000,386889000,0,985551000,336877000,163478000,275530000,373144000,198016000,175128000,648674000,478350000,393818000,0,84532000,564142000,0,648674000,61731000
475608,Criswell College,10683459,10159883,0,28628685,3264777,2190479,13372740,11991168,11148070,843098,25363908,5817013,6175165,716304,358152,25722060,-716304,25363908,1346065
439613,Crossroads Bible College,0,1337157,0,2266033,1297744,892347,819808,148481,0,148481,968289,2050045,2318271,35,-268191,1236480,0,968289,0
174206,Crossroads College,165478,3621218,0,4680619,4460075,3186201,-264588,485132,165478,319654,220544,3466727,3019411,0,447316,-226772,0,220544,22258
106810,Crowley's Ridge College,638069,1890410,0,3274352,394698,51782,1552189,1327465,1303145,24320,2879654,2528867,2298163,0,230704,2648950,0,2879654,44109
174862,Crown College,6537141,20939730,0,31202337,14431180,11647353,9518435,7252722,6818897,433825,16771157,18921092,18118802,0,802290,15968867,0,16771157,599235
190503,Culinary Institute of America,136216854,198961849,0,381860290,153572316,103381308,172473265,55814709,24183149,31631560,228287974,161096024,135996446,3554408,28653986,199633988,0,228287974,16659426
177144,Culver-Stockton College,21377885,22292564,0,47125703,11995423,10142126,14277244,20853036,16984291,3868745,35130280,17775693,16719996,0,1055697,34074583,0,35130280,2564281
219949,Cumberland University,10287673,22082299,0,40251748,13915474,0,15397006,10939268,5582202,5357066,26336274,23970092,25598063,0,-1627971,27964245,0,26336274,1003896
165529,Curry College,103853844,90085937,0,200417268,89850000,74789214,105710120,4857148,1720893,3136255,110567268,89487971,73886436,0,15601535,94965733,0,110567268,12554038
211893,Curtis Institute of Music,108797008,90027977,0,229092252,11733707,7025509,131436857,85921688,60293838,25627850,217358545,15017369,17760901,22795099,20051567,197306978,0,217358545,5036625
190716,D'Youville College,54195752,73386251,0,155748095,46706295,33349500,91510256,17531544,9513461,8018083,109041800,64281091,54685660,0,9595431,99446369,0,109041800,6573545
190725,Daemen College,12872660,46203593,2706198,83195227,46616094,33330000,31059005,5520128,165649,5354479,36579133,46649151,43736705,2296744,5209190,31369943,0,36579133,2181484
219091,Dakota Wesleyan University,23414162,27973843,0,55228386,9272513,0,9341592,36614281,17478691,19135590,45955873,18582345,14871457,-148794,3562094,42393779,0,45955873,2603453
224226,Dallas Baptist University,43347464,110190094,0,160992624,12095885,2730274,113688695,35208044,25420915,9787129,148896739,93633826,78942509,0,14691317,134205422,0,148896739,5489004
224244,Dallas Christian College,0,2940997,0,5689719,3810198,0,1319159,560362,169907,390455,1879521,6544034,6427920,0,116114,1763407,0,1879521,-194901
224305,Dallas Theological Seminary,73594197,45958704,0,132193456,58988973,17159966,33164501,40039982,26755567,13284415,73204483,41442131,31975422,2089492,11556201,61648282,0,73204483,1755929
182670,Dartmouth College,3913790477,944326958,2105524,6182484103,1770794335,817852121,1258726484,3152963284,1051455342,2101507942,4411689768,1122285557,874486315,146341018,394140260,4017549508,0,4411689768,472344562
169479,Davenport University,21305099,116521160,0,194190830,71473905,0,99656032,23060893,13874087,9186806,122716925,118096586,124441274,2075061,-4269627,126986552,0,122716925,925419
198385,Davidson College,581241086,215575263,0,926226615,83404410,41186816,269405082,573417123,308178879,265238244,842822205,204179128,108690965,-6239692,89248471,753573734,0,842822205,70368229
237358,Davis & Elkins College,17036615,26101377,0,61404927,12401410,155591,19268056,29735461,20795034,8940427,49003517,22501433,19858616,455116,3097933,45905584,0,49003517,2264955
194569,Davis College,1703929,3232366,0,5756398,3449021,3176758,111621,2195756,1824304,371452,2307377,4392122,3903153,0,488969,1818408,0,2307377,164995
165574,Dean College,31689845,51152188,0,89755062,45388220,36230042,31349814,13017028,6053221,6963807,44366842,40632759,35169473,0,5463286,38903556,0,44366842,4860455
202514,Defiance College,17017618,25815935,0,53421625,12084189,9046958,23187923,18149513,15736978,2412535,41337436,20764541,18897879,-31681,1834981,39502455,0,41337436,1912638
211981,Delaware Valley College,31008507,71091092,0,123051922,53279023,40144348,47565075,22207824,5651694,16556130,69772899,56449350,56078160,0,371190,69401709,0,69772899,2413248
113537,Dell'Arte International School of Physical Theatre,9973,720444,0,1450725,591273,267706,472966,386486,0,386486,859452,1352841,1092675,0,260166,599286,0,859452,0
202523,Denison University,703670133,245188280,0,1071115487,225300854,179374580,381074232,464740401,177740423,286999978,845814633,165271321,113400551,3341125,55211895,790602738,0,845814633,74231441
126979,Denver Seminary,9555591,21852000,0,33767014,8327720,6442405,18038708,7400586,5259945,2140641,25439294,11794595,10511457,0,1283138,24156156,0,25439294,1245424
144740,DePaul University,527936000,644110000,0,1314095000,508320000,316616000,724017000,81758000,50357000,31401000,805775000,583742000,524143000,16609000,76208000,729567000,0,805775000,31603000
150400,DePauw University,525598129,210694885,0,867696916,185490492,119035000,257139922,425066502,305593413,119473089,682206424,199008119,101077586,11966352,109896885,572309539,0,682206424,54267559
154156,Des Moines University-Osteopathic Medical Center,116381737,39666431,301713,173492654,51084821,29450000,108778769,13629064,7881459,5747605,122407833,56109532,51109283,0,5000249,106379857,11027727,122407833,3569670
210739,DeSales University,55424152,108750928,0,181954923,54843989,41918407,102296122,24814812,17775283,7039529,127110934,71868114,58606089,-42367,13219658,113891276,0,127110934,4546185
212009,Dickinson College,328822336,178125491,0,610475950,159157870,129876888,276190694,175127386,109532508,65594878,451318080,159581468,120912841,-1105677,37562950,413755130,0,451318080,44211629
158802,Dillard University,64591482,207452466,23340888,295384836,178302592,165750726,67295807,49786437,31773801,18012636,117082244,55461134,47585168,0,7875966,109206278,0,117082244,4653606
153241,Divine Word College,22608857,2287621,0,25831509,436972,0,21786612,3607925,341396,3266529,25394537,8146878,7427348,0,719530,24675007,0,25394537,1466790
181020,Doane College-Crete,123893181,61720190,0,194295621,31832107,25429287,68404748,94058766,42704367,51354399,162463514,50423250,37597391,0,12825859,149637655,0,162463514,14205976
448284,Doane College-Lincoln Grand Island and Master,,,,,,,,,,,,,,,,,,,0
190761,Dominican College of Blauvelt,3897323,51441572,0,64903537,46721212,35645592,16385210,1797115,1262595,534520,18182325,37657045,36835098,0,821947,14897090,2463288,18182325,172941
113704,Dominican School of Philosophy & Theology,1118351,22209,0,1892895,65269,0,-687959,2515585,1277035,1238550,1827626,2640297,2638133,0,2164,1825462,0,1827626,93605
148496,Dominican University,22976683,78940810,0,118233926,45692349,33978193,46597262,25944315,17080408,8863907,72541577,64492118,59099383,0,5392735,67148842,0,72541577,5042413
113698,Dominican University of California,27116262,76351501,0,123486172,42680027,33733726,52315499,28490646,20790254,7700392,80806145,60473353,54968965,0,5504388,75301757,0,80806145,2822754
122117,Dongguk University-Los Angeles,1000,2646300,1500,3158018,1619910,1268937,1538108,0,0,0,1538108,2322126,2381516,-6660,-66050,1604158,0,1538108,0
155007,Donnelly College,6534562,4762148,0,13238077,2656733,1357514,6092104,4489240,2678841,1810399,10581344,5415379,5150888,0,264491,10316853,0,10581344,535595
153250,Dordt College,37377682,64764585,0,117530015,25625376,17490000,60957826,30946813,11121339,19825474,91904639,38160655,32281979,-84125,5794551,86110088,0,91904639,3896094
190770,Dowling College,8323248,59105110,0,86352402,65307620,54850828,16117967,4926815,1904079,3022736,21044782,56215483,55768781,0,446702,20598080,0,21044782,-71328
153269,Drake University,171495153,161621276,0,404636945,109777304,50550000,152395196,142464445,107141562,35322883,294859641,153926861,131130918,2084371,24880314,269979327,0,294859641,21000341
184348,Drew University,207421000,153761000,0,379340000,114526000,75176000,75620000,189194000,90321000,98873000,264814000,99011000,86216000,1964000,14759000,250055000,0,264814000,24206000
212054,Drexel University,670311000,803733000,0,1855537000,801671000,455636000,508375000,545491000,290031000,255460000,1053866000,999380000,891847000,0,107533000,946333000,0,1053866000,56702000
177214,Drury University,79933461,83478268,0,183164588,54736152,38949604,67956703,60471733,56191530,4280203,128428436,67139353,58679193,0,8460160,119968276,0,128428436,10561649
198419,Duke University,9955651000,3276533000,0,15536933000,4101275000,2618001000,6561317000,4874341000,2535159000,2339182000,11435658000,5756904000,4670261000,545650000,1632293000,9803365000,0,11435658000,1111180000
175227,Dunwoody College of Technology,23705587,13772594,0,39151414,17688768,6415389,-1711919,23174565,13549765,9624800,21462646,22990289,22957105,0,33184,21429462,0,21462646,1903350
212106,Duquesne University,245819000,294956000,0,649984000,271573000,201752000,247902000,130509000,82718000,47791000,378411000,290989000,256880000,0,34109000,344302000,0,378411000,27628000
150455,Earlham College,357326139,105071779,0,532647438,101949500,83454703,85479428,345218510,79965593,265252917,430697938,83036925,52522469,0,30514456,400183482,0,430697938,44058791
224527,East Texas Baptist University,65572922,37282024,0,108030905,6266020,2109432,44256360,57508525,31385095,26123430,101764885,32395221,24920484,0,7474737,94290148,0,101764885,9135913
144883,East-West University,9247764,77472509,0,103920502,41202207,9727042,62458838,259457,0,259457,62718295,13439872,9769332,0,3670540,59047755,0,62718295,681905
232043,Eastern Mennonite University,23792462,40960542,0,76642592,23572833,14945931,24353792,28715967,13552554,15163413,53069759,38352777,35179424,322814,3496167,49573592,0,53069759,2056242
165644,Eastern Nazarene College,20484806,24116489,138627,52126459,21642640,16892024,17226483,13257336,9715997,3541339,30483819,25448590,23539362,0,1909228,28574591,0,30483819,2058493
212133,Eastern University,25662950,57174695,0,117109718,49855116,38624559,41882967,25371635,22355297,3016338,67254602,70845543,64595007,0,6250536,61463032,-458966,67254602,3838738
446233,Ecclesia College,0,3540520,0,4415194,657367,624427,3536081,221746,0,221746,3757827,2656357,2183136,0,473221,3284606,0,3757827,25879
133492,Eckerd College,50316239,92746326,0,185887289,43419231,27555275,100316714,42151344,33251133,8900211,142468058,78708263,69022147,0,9686116,132781942,0,142468058,4999802
247162,Ecumenical Theological Seminary,211906,2254517,220572,2686995,405459,0,2110205,171331,70350,100981,2281536,1355954,1522987,466007,298974,2580510,-597948,2281536,-5099
177278,Eden Theological Seminary,19330244,8038161,0,30265423,1356151,107701,6575797,22333475,18805731,3527744,28909272,4520903,4829329,0,-308426,29217698,0,28909272,1785923
238661,Edgewood College,25651598,54577812,95860,122477020,20344740,12350353,77173618,24958662,19468015,5490647,102132280,52092902,44537073,0,7555829,94576451,0,102132280,4068988
442806,Edward Via College of Osteopathic Medicine,7926745,8243655,0,25697981,6136798,0,18801259,759924,0,759924,19561183,47350967,40964712,0,6386255,13174928,0,19561183,43896
133526,Edward Waters College,2942717,25086605,0,35870886,14820173,0,16796348,4254365,1660594,2593771,21050713,22995338,22046347,1,948992,20101721,0,21050713,195498
212197,Elizabethtown College,66729601,81845028,0,165609350,62465590,41990592,45574507,57569253,32619869,24949384,103143760,71810152,65516123,-198144,6095885,97047875,0,103143760,6920890
480134,Elizabethtown College School of Continuing and Professional Studies,,,,,,,,,,,,,,,,,,,
144962,Elmhurst College,92274297,67242403,0,175569345,82889736,56900000,48341806,44337803,25314049,19023754,92679609,76040200,69736557,0,6303643,86375966,0,92679609,13854569
190983,Elmira College,45767323,95188466,0,158159521,69466622,52300000,48889405,39803494,26193903,13609591,88692899,48319923,47630474,4775055,5464504,83228395,0,88692899,7023412
198516,Elon University,163746790,297946545,0,579055241,207453114,160432888,244096239,127505888,93571544,33934344,371602127,223719348,177959358,521518,46281508,325320619,0,371602127,18958618
133553,Embry-Riddle Aeronautical University-Daytona Beach,92117000,265822000,0,533108000,219319000,158722000,279273000,34516000,19297000,15219000,313789000,340552000,313810000,0,26742000,287047000,0,313789000,9531000
104586,Embry-Riddle Aeronautical University-Prescott,,,,,,,,,,,,,,,,,,,
426314,Embry-Riddle Aeronautical University-Worldwide,,,,,,,,,,,,,,,,,,,
165662,Emerson College,128402662,466798011,0,666755716,288845392,248959110,349181947,28728377,21302192,7426185,377910324,167598016,145387891,0,22210125,355700199,0,377910324,12381348
220136,Emmanuel Christian Seminary,4784465,10049987,0,17758093,6520235,5654652,-886675,12124533,10671840,1452693,11237858,6619418,3271103,0,3348315,7889543,0,11237858,526993
139630,Emmanuel College,2232852,29343049,0,41857161,30413297,25618522,6687854,4756010,3659986,1096024,11443864,16003113,16293461,0,-290348,11734212,0,11443864,276633
165671,Emmanuel College,72774482,178804764,1312328,310991250,201384883,75828655,87730303,21876064,11238394,10637670,109606367,70786360,71560449,0,-774089,110380456,0,109606367,7352038
153302,Emmaus Bible College,2243341,5937267,0,12704274,2418764,1147424,6264114,4021396,2939677,1081719,10285510,5070308,5252591,19242,-163041,10448551,0,10285510,324034
232025,Emory & Henry College,94113956,72946803,0,186521243,35596896,30557951,43285231,107639116,46839015,60800101,150924347,37286626,28690080,0,8596546,142327801,0,150924347,9620964
139658,Emory University,7227023000,2777055000,0,11456053000,3842693000,1866851000,3257104000,4356256000,1778483000,2577773000,7613360000,4629508000,4009093000,-8675000,611740000,7001620000,0,7613360000,570960000
165699,Endicott College,51583964,156609613,0,215540763,72379215,49956778,133746022,9415526,5138048,4277478,143161548,96161428,75646902,2971366,23485892,119675656,0,143161548,4475396
124487,Epic Bible College,0,2507364,134560,3054187,1983790,1407998,1070397,0,0,0,1070397,2885439,2990113,0,-104674,1175071,0,1070397,0
165705,Episcopal Divinity School,63266846,4737278,0,72816581,559828,0,40065538,32191215,25692507,6498708,72256753,8458181,6671870,0,1786311,70470442,0,72256753,6262881
409254,Erikson Institute,41333435,27540856,0,84362506,41752789,32500000,16252635,26357082,16540176,9816906,42609717,26442859,17700333,0,8742526,33867191,0,42609717,5662324
217998,Erskine College,44834406,26457917,0,75599606,22343860,12351043,-5723482,58979228,52806955,6172273,53255746,18214516,18692761,0,-478245,53733991,0,53255746,3770894
144971,Eureka College,16412142,22922779,0,47467592,17513710,15501560,5387819,24566063,19585368,4980695,29953882,23640222,16402754,94400,7331868,22622014,0,29953882,1796224
177339,Evangel University,1474407,47302212,0,57256303,31596557,8703172,14120709,11539037,10944225,594812,25659746,32485328,34658052,0,-2172724,27832470,0,25659746,480308
212443,Evangelical Theological Seminary,2371704,2330936,0,5262200,740783,0,2165497,2355920,2162247,193673,4521417,2100164,2237143,0,-136979,4658396,0,4521417,212639
385619,Everglades University,9324352,391637,0,31340539,6669176,0,24671363,0,0,0,24671363,24779324,20929544,0,3849780,20821583,0,24671363,519444
196680,Excelsior College,19172933,9481276,2338,46555847,16625734,1065025,28548332,1381781,836372,545409,29930113,81041389,77469980,0,3571409,26358704,0,29930113,1315153
129242,Fairfield University,274927000,285055000,0,645240000,255865000,218316000,202311000,187064000,126858000,60206000,389375000,201932000,165793000,3625000,39764000,349611000,0,389375000,26085000
184694,Fairleigh Dickinson University-College at Florham,,,,,,,,,,,,,,,,,,,
184603,Fairleigh Dickinson University-Metropolitan Campus,52957263,181283219,0,328116481,175948706,95432184,117149405,35018370,19045155,15973215,152167775,217729820,196028344,0,21701476,130466299,0,152167775,5935422
153320,Faith Baptist Bible College and Theological Seminary,9550200,6809187,0,17119069,1302186,0,11129204,4687679,4040461,647218,15816883,7529051,7330608,0,198443,15618440,0,15816883,843757
443049,Faith Evangelical College & Seminary,0,1201460,129986,2331561,405645,0,1925916,0,0,0,1925916,2515049,2583595,0,-68546,1994462,0,1925916,-5837
212452,Faith Theological Seminary,1354386,1354386,6071,1766715,759212,328945,331810,675693,0,675693,1007503,677021,623711,0,53310,954193,0,1007503,0
443058,Family of Faith College,0,76564,0,89539,24288,0,65251,0,0,0,65251,378412,407285,0,-28873,94124,0,65251,0
101189,Faulkner University,18015943,56263088,1252803,91591562,42924713,34312350,33621108,15045741,10644815,4400926,48666849,45783977,44678442,0,1105535,47561314,0,48666849,0
184612,Felician College,10735448,48755879,0,65352605,15382336,11018929,40881153,9089116,4832428,4256688,49970269,41710428,40651886,0,1058542,48911727,0,49970269,978928
232089,Ferrum College,31028414,58910431,0,114229674,35680653,31551161,37845307,40703714,33697768,7005946,78549021,41194807,34833965,-221657,6139185,72409836,0,78549021,5281585
114549,Fielding Graduate University,4160254,5440492,0,28706198,7849202,3001604,17416777,3440219,1774296,1665923,20856996,23905441,21994578,0,1910863,18946133,0,20856996,2098011
172440,Finlandia University,4072726,22792886,0,29671404,12644523,6326336,8857458,8169423,6683145,1486278,17026881,12868010,12605061,0,262949,16763932,0,17026881,67202
165802,Fisher College,13893423,28666871,0,47029936,23039893,18972996,23964043,26000,0,26000,23990043,25962341,22193455,0,3768886,20221157,0,23990043,1550776
220181,Fisk University,58369923,23074541,0,94619702,12576552,9583772,60595604,21447546,17535865,3911681,82043150,24901062,24567104,0,333958,81709192,0,82043150,619842
133711,Flagler College-St Augustine,86225565,106625001,0,216472702,44480447,0,148757708,23234547,16042362,7192185,171992255,56799573,47433142,0,9366431,162625824,0,171992255,7867460
444990,Flagler College-Tallahassee,0,0,0,3061267,502597,0,2558670,0,0,0,2558670,2817273,2604596,0,212677,2345993,0,2558670,53
133809,Florida College,14590618,27762740,0,48968937,10635643,8259794,14074087,24259207,18497105,5762102,38333294,18365689,15576313,0,2789376,35543918,0,38333294,1382941
133881,Florida Institute of Technology,57929579,109863047,0,203013535,80673024,47466187,61994358,60346153,48890195,11455958,122340511,173694240,165739349,0,7954891,114408359,-22739,122340511,5979293
480569,Florida Institute of Technology-Online,,,,,,,,,,,,,,,,,,,0
133979,Florida Memorial University,10778334,47093832,0,69414478,41002157,35376886,19408680,9003641,4599220,4404421,28412321,36457109,39085552,0,-2628443,31040764,0,28412321,586679
134079,Florida Southern College,71314079,109949765,0,214334243,56498315,0,81285666,76550262,36744303,39805959,157835928,62959416,62657709,0,301707,140051124,17483097,157835928,216031
177418,Fontbonne University,20465930,28657920,0,60353497,15956467,0,31024963,13372067,9065575,4306492,44397030,32270649,33472601,2403904,1201952,45598982,-2403904,44397030,1042628
191241,Fordham University,568223233,886620491,0,1729262925,590393182,435555804,599731889,539137854,253215480,285922374,1138869743,591554416,522305871,20205551,89454096,1049415647,0,1138869743,64412477
177427,Forest Institute of Professional Psychology,0,7297743,0,9075700,3169409,1925144,5883631,22660,0,22660,5906291,5313577,5224541,0,89036,5817255,0,5906291,2126
114734,Franciscan School of Theology,7208435,376397,0,7761750,76655,0,898731,6786364,4010325,2776039,7685095,1633991,1698528,0,-64537,7749632,0,7685095,541377
205957,Franciscan University of Steubenville,77234196,76168817,0,163898953,31934394,19535325,96078758,35885801,16992293,18893508,131964559,68417695,54734512,0,13683183,118281376,0,131964559,9257075
104665,Frank Lloyd Wright School of Architecture,,,,,,,,,,,,,,,,,,,0
212577,Franklin and Marshall College,367294966,230115778,0,642677458,148386303,83625916,261888021,232403134,104575348,127827786,494291155,149845111,120358795,117150,29603466,464687689,0,494291155,34058026
150604,Franklin College,81841468,49063842,0,141309216,17670315,7850000,68617734,55021167,40248867,14772300,123638901,29714166,27901796,0,1812370,121826531,0,123638901,6820385
182795,Franklin Pierce University,5546139,51772456,0,72255163,54780129,44685167,11851527,5623507,4154450,1469057,17475034,46405512,45865871,0,539641,16935393,0,17475034,552973
202806,Franklin University,79120000,31219000,0,119745000,21755000,12031000,93212000,4778000,3070000,1708000,97990000,78366000,66988000,0,11378000,86612000,0,97990000,11294000
441982,Franklin W Olin College of Engineering,349371000,103288000,0,461302000,179056000,160773000,8840000,273406000,2725000,270681000,282246000,48340000,36798000,0,11542000,270704000,0,282246000,34618000
220215,Freed-Hardeman University,48173484,52465351,5014330,105653165,39215436,25304162,26060622,40377107,15500206,24876901,66437729,43721834,36195643,0,7526191,58911538,0,66437729,4776307
114813,Fresno Pacific University,22243353,39543383,0,83009320,30499553,13187135,28371987,24137780,9571616,14566164,52509767,53779602,54886111,1,-1106508,53616272,3,52509767,1472038
155089,Friends University,59531000,53598000,0,127949000,23480000,15117000,63853000,40616000,35754000,4862000,104469000,39292000,35188000,0,4104000,100365000,0,104469000,5333000
156727,Frontier Nursing University,3174260,1115316,0,21744076,5805682,0,4971950,10966444,3086655,7879789,15938394,21066777,15245185,-49195,5772397,10165997,0,15938394,519156
114840,Fuller Theological Seminary in California,97471000,90653000,4922000,292972000,82245000,57563000,35707000,175020000,105797000,69223000,210727000,59931000,53734000,0,6197000,204530000,0,210727000,8016000
218070,Furman University,640165578,261943443,0,960054405,136970612,107276056,302671001,520412792,156895029,363517763,823083793,192319633,137540698,1920446,56699381,766384412,0,823083793,62786042
481030,Future Generations Graduate School,7395599,0,0,7427161,10000,0,0,7417161,7376051,41110,7417161,2958256,2378064,0,580192,5884480,952489,7417161,774682
131450,Gallaudet University,184316636,191315912,0,412749296,63318893,38698088,200845773,148584630,121166035,27418595,349430403,139332586,136056248,4562257,7838595,341591808,0,349430403,7365688
212601,Gannon University,60454000,89164000,0,200579000,75299000,62365000,98397000,26883000,22815000,4068000,125280000,83911000,73905000,-312000,9694000,115586000,0,125280000,5689000
198561,Gardner-Webb University,55282480,59935048,0,145371197,41526427,0,52793400,51051370,34585990,16465380,103844770,70571921,64863386,0,5708535,98136235,0,103844770,6776682
145275,Garrett-Evangelical Theological Seminary,90121929,19169798,0,118849798,20584143,14290000,11407243,86858412,74425926,12432486,98265655,21674588,12972249,0,8702339,89563316,0,98265655,11859211
212656,Geneva College,34724918,34730176,0,82561979,20747551,13544438,19514070,42300358,17399623,24900735,61814428,43780220,38088299,0,5691921,56122507,0,61814428,5535322
208822,George Fox University,22347422,64100765,0,107074247,38397335,24944920,42147961,26528951,16396775,10132176,68676912,66370012,60335086,0,6034926,62641986,0,68676912,2845396
131469,George Washington University,1760862000,1290888000,7945000,3545838000,1655278000,1128006000,1381609000,508951000,227667000,281284000,1890560000,1177984000,1119772000,1198000,59410000,1831150000,0,1890560000,87158000
156745,Georgetown College,39357897,45771455,0,98512803,60152294,39514669,-7659669,46020178,36257601,9762577,38360509,37542440,38190488,3244070,2596022,35764487,0,38360509,3571706
131496,Georgetown University,1308340000,909206000,0,2571835000,1330455000,835001000,-98724000,1340104000,936941000,403163000,1241380000,1305901000,1117893000,0,188008000,1053372000,0,1241380000,134430000
461236,Georgia Christian University,4050,3832424,0,4205492,3191693,291984,1013799,0,0,0,1013799,2104055,1392114,0,711941,301858,0,1013799,0
184773,Georgian Court University,46572144,61913825,0,123459628,35350897,28793899,68051213,20057518,12329914,7727604,88108731,45394722,42358698,976660,4012684,84096047,0,88108731,5706643
212674,Gettysburg College,220747111,164210005,0,476534948,130570404,78285000,169375975,176588569,132406415,44182154,345964544,157234871,118476053,0,38758818,307205726,0,345964544,29270069
230889,Goddard College,1013850,4287329,0,8487922,1708675,4873,6103964,675283,477254,198029,6779247,12040400,12358968,0,-318568,7097815,0,6779247,158508
202903,Gods Bible School and College,1921245,3578619,0,6647065,669373,0,4217139,1760553,955334,805219,5977692,4871040,4217039,0,654001,5323691,0,5977692,207850
115083,Golden Gate University-San Francisco,65831835,69807746,0,159697197,55978743,45980190,73412316,30306138,18743575,11562563,103718454,65793818,64609757,0,1184061,102534395,-2,103718454,5623575
130989,Goldey-Beacom College,59550099,7854431,0,91631885,4573390,0,74059141,12999354,8610170,4389184,87058495,23756972,12146957,3978,11613993,75444502,0,87058495,5643690
