unitid,institution name,year,HD2013.Longitude location of institution,HD2013.Latitude location of institution,F1213_F2.Private gifts - Total,DRVF2013.Tuition and fees as a percent of core revenues (FASB),DRVF2013.Endowment assets (year end) per FTE enrollment (FASB)
129525,University of Hartford,2013,-72.714965,41.796485,6424000,69,19519
129534,Holy Apostles College and Seminary,2013,-72.647853,41.60682,441306,76,
129686,Lyme Academy College of Fine Arts,2013,-72.329397,41.322826,1516583,35,74334
129774,Mitchell College,2013,-72.095337,41.328075,554192,81,8945
129941,University of New Haven,2013,-72.961472,41.291314,4863385,84,4809
130226,Quinnipiac University,2013,-72.895542,41.419527,3663442,81,36852
130253,Sacred Heart University,2013,-73.24461,41.221548,9447129,78,20869
130314,University of Saint Joseph,2013,-72.730489,41.783028,4156000,59,11878
130448,St Vincent's College,2013,-73.201106,41.201198,816607,74,7339
130590,Trinity College,2013,-72.688684,41.746746,17375472,43,206497
130697,Wesleyan University,2013,-72.656755,41.55678,36321000,43,208049
130785,Yale-New Haven Hospital Dietetic Internship,2013,-72.935579,41.304214,1500,87,
130794,Yale University,2013,-72.926688,41.311158,289938000,4,1528324
130989,Goldey-Beacom College,2013,-75.694018,39.742464,157130,70,48000
131098,Wesley College,2013,-75.527377,39.16325,6529995,79,4470
131113,Wilmington University,2013,-75.586998,39.682299,284281,96,4066
131159,American University,2013,-77.090106,38.937802,23508000,73,45966
131283,Catholic University of America,2013,-76.998961,38.935796,15702918,66,45507
131308,Corcoran College of Art and Design,2013,-77.039812,38.895757,6619825,54,28313
131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,2013,-76.998806,38.931427,803824,25,20809
131450,Gallaudet University,2013,-76.993675,38.907371,4552434,14,121176
131469,George Washington University,2013,-77.047871,38.89865,55607000,60,63277
131496,Georgetown University,2013,-77.073463,38.908809,116380000,45,83669
131520,Howard University,2013,-77.019478,38.920739,0,23,55408
131876,Trinity Washington University,2013,-77.004261,38.927398,8483970,72,12127
131973,Wesley Theological Seminary,2013,-77.08996,38.939606,4318785,27,40169
132408,The Baptist College of Florida,2013,-85.519033,30.956401,1096372,53,14175
132471,Barry University,2013,-80.196136,25.878865,2164872,88,3670
132602,Bethune-Cookman University,2013,-81.031429,29.210193,4568225,66,12507
132657,Lynn University,2013,-80.123851,26.382777,11787366,76,10304
132842,Carlos Albizu University-Miami,2013,-80.355002,25.795162,0,80,
132879,Johnson University Florida,2013,-81.362512,28.301869,859548,34,3397
133085,Clearwater Christian College,2013,-82.697305,27.963556,870802,83,1742
133492,Eckerd College,2013,-82.685992,27.718996,6660368,75,20145
133526,Edward Waters College,2013,-81.684817,30.34513,1747204,44,1851
133553,Embry-Riddle Aeronautical University-Daytona Beach,2013,-81.0495,29.189244,4360000,90,10039
133711,Flagler College-St Augustine,2013,-81.315256,29.89335,3586742,75,21644
133809,Florida College,2013,-82.383446,28.034911,5116696,48,20266
133872,Adventist University of Health Sciences,2013,-81.367687,28.576142,337164,81,3496
133881,Florida Institute of Technology,2013,-80.624628,28.064503,5589434,76,11992
133979,Florida Memorial University,2013,-80.270672,25.917854,707197,71,5871
134079,Florida Southern College,2013,-81.945791,28.031507,3642955,85,32743
134510,Hobe Sound Bible College,2013,-80.132413,27.066473,937428,21,15951
134945,Jacksonville University,2013,-81.60706,30.350349,5209748,68,11979
135063,Jones College-Jacksonville,2013,-81.610068,30.328002,0,36,
135081,Keiser University-Ft Lauderdale,2013,-80.163959,26.185869,0,100,
135364,Luther Rice University & Seminary,2013,-84.123648,33.697984,241721,95,570
135610,Trinity International University-Florida,2013,-80.257156,26.099656,78948,97,1158
135726,University of Miami,2013,-80.27645,25.720406,110571603,28,48576
135939,Remington College-Tampa Campus,2013,-82.385976,27.983466,0,99,
136206,Northwood University-Florida,2013,-80.104138,26.714688,,78,8550
136215,Nova Southeastern University,2013,-80.24248,26.079337,11130004,89,2645
136330,Palm Beach Atlantic University,2013,-80.049758,26.704629,8084178,74,23183
136701,Saint Vincent de Paul Regional Seminary,2013,-80.125707,26.51582,2633606,34,121058
136774,Ringling College of Art and Design,2013,-82.548598,27.35963,9084549,73,27160
136950,Rollins College,2013,-81.348716,28.591992,15672000,45,113393
137032,Saint Leo University,2013,-82.257287,28.336776,1790590,93,2998
137272,Saint John Vianney College Seminary,2013,-80.337411,25.742579,0,49,63543
137476,St Thomas University,2013,-80.256265,25.920915,4599441,80,6553
137546,Stetson University,2013,-81.301604,29.036295,25146673,59,41755
137564,Southeastern University,2013,-81.918997,28.031864,1758816,87,2830
137777,Talmudic College of Florida,2013,-80.141334,25.7949,2005746,11,
137847,The University of Tampa,2013,-82.465582,27.947225,6910925,87,4130
137953,Trinity Baptist College,2013,-81.705655,30.323755,309800,79,271
137962,Trinity College of Florida,2013,-82.677065,28.194222,581264,77,3648
138275,Warner University,2013,-81.599972,27.825751,1903574,38,4235
138293,Webber International University,2013,-81.532325,27.838798,357864,91,6633
138600,Agnes Scott College,2013,-84.29563,33.769996,4421062,23,281391
138868,Point University,2013,-85.184285,32.879467,7564757,55,2402
138947,Clark Atlanta University,2013,-84.412818,33.748772,3486139,62,18051
139144,Berry College,2013,-85.189077,34.289254,9252213,24,409661
139153,Beulah Heights University,2013,-84.358086,33.737022,686309,61,
139199,Brenau University,2013,-83.821513,34.303117,3654242,78,13894
139205,Brewton-Parker College,2013,-82.586136,32.185718,2888149,40,27945
139287,Carver Bible College,2013,-84.515091,33.7236,702501,39,
139348,Columbia Theological Seminary,2013,-84.282978,33.764108,2106479,2,615993
139393,Covenant College,2013,-85.37496,34.963327,6180610,61,24117
139630,Emmanuel College,2013,-83.146825,34.282617,5958052,50,4764
139658,Emory University,2013,-84.325782,33.798836,193722000,18,382343
140146,Interdenominational Theological Center,2013,-84.410337,33.754904,1395597,43,46135
140234,LaGrange College,2013,-85.041394,33.039713,3536708,55,55914
140252,Life University,2013,-84.514156,33.932104,982095,95,
140447,Mercer University,2013,-83.651042,32.829731,8872080,59,24270
140553,Morehouse College,2013,-84.415156,33.74793,14144175,38,52890
140562,Morehouse School of Medicine,2013,-84.411958,33.742549,486020,6,242321
140696,Oglethorpe University,2013,-84.334756,33.875939,5785506,64,18477
140720,Paine College,2013,-81.991199,33.469259,2006575,51,
140818,Piedmont College,2013,-83.543216,34.56663,1646310,56,23346
140872,Reinhardt University,2013,-84.554657,34.318874,1991755,68,31428
140951,Savannah College of Art and Design,2013,-81.093905,32.072966,8647049,94,1645
140988,Shorter University,2013,-85.196213,34.258192,2894088,65,8711
141060,Spelman College,2013,-84.410118,33.74519,2354444,35,137294
141167,Thomas University,2013,-83.981478,30.813954,938530,81,4792
141185,Toccoa Falls College,2013,-83.353462,34.59554,1333817,49,2811
141237,Truett-McConnell College,2013,-83.745972,34.594437,546984,81,3613
141325,Wesleyan College,2013,-83.717186,32.874648,6007232,31,101523
141361,Young Harris College,2013,-83.847765,34.93316,16305783,24,115362
141486,Chaminade University of Honolulu,2013,-157.807642,21.290274,3478482,72,5157
141644,Hawaii Pacific University,2013,-157.859411,21.31028,1029136,83,11735
141936,World Medicine Institute,2013,-157.754719,21.296439,69000,91,
142090,Boise Bible College,2013,-116.290607,43.657437,2301066,32,
142294,The College of Idaho,2013,-116.676838,43.652653,4580976,35,92003
142461,Northwest Nazarene University,2013,-116.564792,43.563181,9095735,62,12430
142522,Brigham Young University-Idaho,2013,-111.784728,43.815384,7594000,35,2580
142832,Adler School of Professional Psychology,2013,-87.628651,41.88232,887614,94,5
143048,School of the Art Institute of Chicago,2013,-87.621411,41.879646,4999112,82,51665
143084,Augustana College,2013,-90.552402,41.500326,15172874,59,50005
143118,Aurora University,2013,-88.349469,41.754465,3446536,80,9032
143233,Bethany Theological Seminary,2013,-84.9099,39.8265,2269387,2,690517
143288,Blackburn College,2013,-89.872248,39.288298,3585545,46,27143
143297,Blessing Rieman College of Nursing,2013,-91.398548,39.935896,0,88,
143358,Bradley University,2013,-89.61462,40.697605,9777069,60,49328
143659,Catholic Theological Union at Chicago,2013,-87.585772,41.798059,1350469,36,101641
143853,Midwestern University-Downers Grove,2013,-88.000989,41.828376,616631,74,1092
143978,The Chicago School of Professional Psychology at Chicago,2013,-87.633933,41.887903,141470,98,2702
144014,Chicago Theological Seminary,2013,-87.591301,41.786018,1357446,30,221659
144050,University of Chicago,2013,-87.601196,41.78917,292890549,17,429800
144281,Columbia College-Chicago,2013,-87.624554,41.873589,2542620,82,13111
144351,Concordia University-Chicago,2013,-87.810009,41.898574,2726121,91,4808
144740,DePaul University,2013,-87.654116,41.923332,15935000,87,17773
144883,East-West University,2013,-87.624793,41.871309,1000000,41,
144962,Elmhurst College,2013,-87.946096,41.899215,2294792,72,26608
144971,Eureka College,2013,-89.268952,40.713042,7368697,48,22303
145275,Garrett-Evangelical Theological Seminary,2013,-87.676721,42.053318,4820925,9,230869
145372,Greenville College,2013,-89.409178,38.894751,2188880,72,10621
145497,Hebrew Theological College,2013,-87.761119,42.011055,2650784,25,1806
145558,Rosalind Franklin University of Medicine and Science,2013,-87.859632,42.300069,2561973,67,30451
145619,Benedictine University,2013,-88.095948,41.776395,5642993,73,2168
145628,Illinois College of Optometry,2013,-87.623016,41.835447,1339760,62,1261
145646,Illinois Wesleyan University,2013,-88.990622,40.491522,14562635,45,116710
145691,Illinois College,2013,-90.246256,39.730827,2730612,28,135452
145725,Illinois Institute of Technology,2013,-87.628346,41.833801,34742000,48,28531
145886,Institute for Clinical Social Work,2013,-87.627181,41.87635,96543,86,2273
146241,The John Marshall Law School,2013,-87.628567,41.877966,929551,91,5458
146339,Judson University,2013,-88.289708,42.05896,2468883,74,11061
146427,Knox College,2013,-90.370316,40.941829,17817020,43,70137
146481,Lake Forest College,2013,-87.830777,42.250456,5090343,53,48680
146490,Lake Forest Graduate School of Management,2013,-87.893204,42.243432,281141,83,
146533,Lakeview College of Nursing,2013,-87.644452,40.137179,111302,68,43872
146612,Lewis University,2013,-88.079032,41.605432,6447615,77,8364
146621,Lexington College,2013,-87.681411,41.69692,19800,67,
146667,Lincoln Christian University,2013,-89.34582,40.148897,2571676,74,11240
146676,Lincoln College,2013,-89.360552,40.157141,470743,70,35491
146719,Loyola University Chicago,2013,-87.657399,41.999161,25666818,63,31599
146728,Lutheran School of Theology at Chicago,2013,-87.599577,41.795064,4138803,7,354750
146755,Trinity College of Nursing & Health Sciences,2013,-90.57091,41.48559,100,97,12134
146825,MacMurray College,2013,-90.22175,39.730226,1193707,65,15519
146977,McCormick Theological Seminary,2013,-87.5961,41.793514,1069320,5,776806
147013,McKendree University,2013,-89.814486,38.609431,1885139,83,12043
147031,Meadville Lombard Theological School,2013,-87.624801,41.87404,954597,20,150086
147129,Methodist College,2013,-89.591277,40.70017,0,100,1173
147244,Millikin University,2013,-88.974571,39.842604,12734880,54,47043
147341,Monmouth College,2013,-90.637909,40.91459,3370348,45,69676
147369,Moody Bible Institute,2013,-87.633459,41.897822,45389349,18,11579
147536,National Louis University,2013,-87.624805,41.879826,1464779,79,7292
147590,National University of Health Sciences,2013,-88.013153,41.861919,258579,78,3128
147660,North Central College,2013,-88.143649,41.775304,5100590,74,33860
147679,North Park University,2013,-87.709142,41.9751,15518016,58,26877
147697,Northern Baptist Theological Seminary,2013,-87.99844,41.840512,486304,42,180626
147767,Northwestern University,2013,-87.673653,42.058377,315121000,19,330031
147828,Olivet Nazarene University,2013,-87.873654,41.155489,7478365,81,4882
148131,Quincy University,2013,-91.387928,39.939235,3772800,61,11632
148335,Robert Morris University Illinois,2013,-87.627068,41.876278,213712,87,13240
148405,Rockford University,2013,-89.019536,42.270639,5540499,60,10037
148487,Roosevelt University,2013,-87.624952,41.876055,5878659,83,16852
148496,Dominican University,2013,-87.821872,41.902834,3313413,74,8035
148511,Rush University,2013,-87.667498,41.874911,847000,8,
148575,Saint Francis Medical Center College of Nursing,2013,-89.590993,40.70028,56934,62,
148584,University of St Francis,2013,-88.096368,41.533341,2604717,86,5868
148593,St John's College of Nursing,2013,-89.645795,39.807318,0,63,13871
148627,Saint Xavier University,2013,-87.713507,41.707763,2763133,69,2896
148849,Shimer College,2013,-87.62713,41.83217,624867,64,8109
148876,Saint Augustine College,2013,-87.662806,41.972414,248804,80,590
148885,University of Saint Mary of the Lake,2013,-88.00048,42.281376,5334692,27,432797
148982,Spertus College,2013,-87.624634,41.872741,2292016,19,73078
149028,Saint Anthony College of Nursing,2013,-89.108339,42.263191,0,55,19813
149329,Telshe Yeshiva-Chicago,2013,-87.716912,41.975289,3153349,21,
149505,Trinity Christian College,2013,-87.784157,41.669189,3243244,75,7214
149514,Trinity International University-Illinois,2013,-87.882722,42.197909,6864684,59,27947
149639,VanderCook College of Music,2013,-87.629138,41.836833,135207,85,
149763,Resurrection University,2013,-87.685291,41.90748,42245,98,4015
149781,Wheaton College,2013,-88.09681,41.870943,27312806,37,115766
150066,Anderson University,2013,-85.662292,40.112167,4736000,71,10714
150145,Bethel College-Indiana,2013,-86.191642,41.677671,3909060,80,5294
150163,Butler University,2013,-86.171791,39.840662,26744000,56,37146
150172,Calumet College of Saint Joseph,2013,-87.492987,41.670925,915740,86,5459
150215,Christian Theological Seminary,2013,-86.177759,39.833199,1095002,10,650702
150288,Concordia Theological Seminary,2013,-85.109752,41.139365,14333381,10,146047
150400,DePauw University,2013,-86.863556,39.63953,84376589,21,232634
150455,Earlham College,2013,-84.911464,39.822278,10550858,23,305019
150534,University of Evansville,2013,-87.531963,37.969955,43252917,41,43352
150604,Franklin College,2013,-86.047182,39.478298,3064020,57,77521
150668,Goshen College,2013,-85.826766,41.564254,4031990,44,112373
150677,Grace College and Theological Seminary,2013,-85.813931,41.226473,2619827,67,5365
150756,Hanover College,2013,-85.461086,38.712488,4855669,40,120946
150774,Holy Cross College,2013,-86.253668,41.699982,1464837,74,1504
150941,Huntington University,2013,-85.499624,40.89907,3319400,60,19571
151263,University of Indianapolis,2013,-86.134747,39.709671,4250419,77,16089
151290,Indiana Institute of Technology,2013,-85.11795,41.078338,3371701,45,16887
151777,Manchester University,2013,-85.758762,41.011609,3604173,62,33329
151786,Marian University,2013,-86.204599,39.81534,12071544,68,11964
151801,Indiana Wesleyan University,2013,-85.661991,40.518495,5708920,84,7844
151810,Martin University,2013,-86.104771,39.79844,463925,58,
151865,Anabaptist Mennonite Biblical Seminary,2013,-85.972222,41.656093,3249148,8,246032
151962,Mid-America College of Funeral Service,2013,-85.744342,38.310919,0,100,
152080,University of Notre Dame,2013,-86.238959,41.703058,222605000,19,545295
152099,Oakland City University,2013,-87.351611,38.339606,869837,65,3256
152318,Rose-Hulman Institute of Technology,2013,-87.32357,39.480946,8225556,61,83996
152336,University of Saint Francis-Fort Wayne,2013,-85.173694,41.087772,6902591,75,8224
152363,Saint Josephs College,2013,-87.155541,40.923438,2658820,25,21160
152381,Saint Mary-of-the-Woods College,2013,-87.460126,39.510543,2019221,71,15698
152390,Saint Mary's College,2013,-86.256947,41.707274,12109304,45,87994
152451,Saint Meinrad School of Theology,2013,-86.810417,38.166046,357243,41,177854
152530,Taylor University,2013,-85.496906,40.458382,9708579,62,31921
152567,Trine University,2013,-85.005696,41.633389,4112268,76,10985
152600,Valparaiso University,2013,-87.045853,41.463176,-2704000,75,42568
152673,Wabash College,2013,-86.905809,40.037799,10158850,24,382150
152798,Allen College,2013,-92.338018,42.531427,0,90,3951
152822,AIB College of Business,2013,-93.645694,41.561953,580141,83,7286
152992,Briar Cliff University,2013,-96.42696,42.526919,2059079,69,10169
153001,Buena Vista University,2013,-95.208053,42.642529,3283421,57,48494
153108,Central College,2013,-92.918664,41.400236,3712088,60,47002
153126,Clarke University,2013,-90.691512,42.508619,2922913,66,28657
153144,Coe College,2013,-91.657535,41.986383,7258073,52,61730
153162,Cornell College,2013,-91.425435,41.925982,6969567,53,52507
